"排名","代號","名稱","股價日期","成交","市值(億)","產業別","相關產業","漲跌幅","振幅(%)","成交額(百萬)","02/02成交量(張)","02/02成交量週轉率(%)"
"407",="6177","達麗","02/02","47.5","224","建材營造業","建材營造","+1.06","2.66","54.4","1,146","0.24"
"408",="00923","群益台ESG低碳50","02/02","28.41","223","國內成分股ETF","國內成分股ETF","-1.7","1.18","142","5,001","0.64"
"409",="3013","晟銘電","02/02","108.5","223","電腦及週邊設備業","電子零組件–機殼","-3.98","3.54","310","2,843","1.39"
"410",="7751","竑騰","02/02","820","220","半導體業","櫃半導體","-2.03","2.51","162","198","0.74"
"411",="1440","南紡","02/02","13.3","220","紡織纖維","紡織纖維","-2.21","2.21","19.2","1,441","0.09"
"412",="1608","華榮","02/02","34.8","220","電器電纜","電器電纜","-8.78","7.6","532","15,015","2.37"
"413",="6491","晶碩","02/02","282","220","生技醫療業","醫療器材–隱形眼鏡","-2.76","3.1","123","434","0.56"
"414",="2836","高雄銀","02/02","11.9","219","銀行業","金融保險","-0.83","1.25","22.6","1,896","0.1"
"415",="00915","凱基優選高股息30","02/02","23.28","219","國內成分股ETF","國內成分股ETF","-1.48","1.65","110","4,733","0.5"
"416",="2530","華建","02/02","26","218","建材營造業","建材營造","-0.76","2.29","24","924","0.11"
"417",="2515","中工","02/02","13.55","218","建材營造業","建材營造","-1.09","2.92","101","7,400","0.46"
"418",="8039","台虹","02/02","84.7","217","電子零組件業","印刷電路板 (PCB)","-3.64","4.66","727","8,635","3.36"
"419",="2820","華票","02/02","16.15","217","銀行業","金融保險","-0.62","1.54","28.2","1,743","0.13"
"420",="2247","汎德永業","02/02","268","216","汽車工業","汽車","-1.47","1.29","21.8","81","0.1"
"421",="6443","元晶","02/02","40","215","光電業","光電","+2.56","7.31","9,251","222,953","41.4"
"422",="6803","崑鼎","02/02","296.5","215","綠能環保","其他","+0.34","0.85","26.5","90","0.12"
"423",="2359","所羅門","02/02","125","214","其他電子業","其他電子","-5.3","6.06","362","2,876","1.68"
"424","00942B","台新美A公司債20+","02/02","14.65","214","債券ETF","債券ETF","+1.24","1.17","31.3","2,148","0.15"
"425",="2851","中再保","02/02","26.75","214","保險業","金融保險","+0.56","1.5","30.7","1,155","0.14"
"426","2891B","中信金乙特","02/02","63.9","213","金控業","金控業","0","0","0.19","3","0"
"427",="4728","雙美","02/02","389","212","生技醫療業","生物科技","+0.39","3.23","5.84","15","0.03"
"428","00991A","主動復華未來50","02/02","11.47","211","主動式國內成分股ETF","主動式國內成分股ETF","-2.96","2.54","1,281","111,627","6.08"
"429","00990A","主動元大AI新經濟","02/02","10.92","210","主動式國外成分股ETF","主動式國外成分股ETF","-3.62","2.91","694","63,134","3.28"
"430",="8033","雷虎","02/02","137.5","210","其他業","其他","-5.5","7.56","843","6,033","3.95"
"431",="2428","興勤","02/02","163.5","209","電子零組件業","被動元件","-2.1","2.4","71.9","440","0.34"
"432",="6719","力智","02/02","198.5","209","半導體業","半導體–IC設計","-2.22","3.2","111","557","0.53"
"433",="4105","東洋","02/02","84","209","生技醫療業","生物科技","-1.52","2.7","80.2","951","0.38"
"434",="6739","竹陞科技","02/02","888","208","其他電子業","櫃其他電子","-6.53","7.16","856","952","4.07"
"435",="6579","研揚","02/02","122","207","電腦及週邊設備業","電腦及週邊設備","-4.31","4.71","127","1,028","0.61"
"436",="5530","龍巖","02/02","49.2","207","其他業","其他","-1.99","2.39","33.1","671","0.16"
"437",="7780","大研生醫*","02/02","25.35","205","食品工業","生物科技,食品生產–保健食品,醫藥產業–保健食品","-5.06","7.87","163","6,432","0.79"
"438","00789B","復華公司債A3","02/02","49.27","205","債券ETF","債券ETF","+1.17","0.47","5.25","107","0.03"
"439",="8086","宏捷科","02/02","103.5","203","半導體業","半導體–IC製造","-7.59","6.25","318","3,008","1.53"
"440",="5009","榮剛","02/02","33.6","202","鋼鐵工業","鋼鐵","-1.47","4.69","126","3,705","0.61"
"441",="6768","志強-KY","02/02","101","202","運動休閒","其他","-0.49","2.76","87.3","866","0.43"
"442",="8081","致新","02/02","234.5","202","半導體業","半導體–IC設計","-3.5","3.09","147","621","0.72"
"443",="1104","環泥","02/02","29.4","202","水泥工業","水泥–水泥生產,水泥–預拌混凝土","-0.84","1.69","17.3","590","0.09"
"444",="6182","合晶","02/02","35.1","201","半導體業","半導體–IC製造","-5.01","4.06","384","10,840","1.89"
"445",="1419","新紡","02/02","67.1","201","紡織纖維","紡織纖維","-9.45","7.42","37.5","539","0.18"
"446",="6584","南俊國際","02/02","290.5","201","電子零組件業","櫃電子零組件","-1.19","5.44","166","570","0.82"
"447",="2392","正崴","02/02","38.9","199","電子零組件業","電子零組件–連接器,電子零組件–電源供應器","+0.13","2.7","36.7","947","0.18"
"448",="4506","崇友","02/02","112.5","199","電機機械","電機機械","+1.35","1.8","11.1","100","0.06"
"449","00680L","元大美債20正2","02/02","7.2","198","槓桿及反向型ETF","槓桿及反向型ETF","+1.27","1.13","276","38,564","1.4"
"450",="4770","上品","02/02","246.5","197","化學工業","化學","+1.02","5.12","195","788","0.99"
"451",="4967","十銓","02/02","231","196","半導體業","半導體–IC製造,電子零組件–DRAM模組,電子零組件–Flash模組","-8.51","7.52","3,047","12,934","15.2"
"452",="3014","聯陽","02/02","117","194","半導體業","半導體–IC設計","-2.5","3.75","140","1,199","0.72"
"453",="2520","冠德","02/02","31.8","194","建材營造業","建材營造","+2.75","4.2","118","3,684","0.6"
"454",="1904","正隆","02/02","17.4","193","造紙工業","造紙","-1.69","2.26","11.5","656","0.06"
"455",="6962","奕力-KY","02/02","39","192","半導體業","半導體–IC設計","-3.7","3.09","90.5","2,306","0.47"
"456",="7749","意騰-KY","02/02","408","190","半導體業","半導體–IC設計","+1.62","3.86","50.8","126","0.27"
"457",="1712","興農","02/02","45.1","190","化學工業","化工","-0.66","1.32","25.6","566","0.13"
"458",="5340","建榮","02/02","97","189","電子零組件業","印刷電路板 (PCB)","+2.65","5.82","173","1,848","0.95"
"459",="9802","鈺齊-KY","02/02","94","189","運動休閒","其他","-0.63","2.64","103","1,096","0.55"
"460",="6138","茂達","02/02","249.5","188","半導體業","半導體–IC設計","-3.85","6.55","224","893","1.19"
"461",="1789","神隆","02/02","23.6","187","生技醫療業","生物科技,醫藥產業","-4.26","7.91","89.1","3,697","0.47"
"462",="6269","台郡","02/02","57.7","186","電子零組件業","印刷電路板 (PCB)","-3.19","4.53","86.8","1,482","0.46"
"463","00863B","中信全球電信債","02/02","32.78","186","債券ETF","債券ETF","+1.24","0.56","9.35","286","0.05"
"464","00738U","期元大道瓊白銀","02/02","63","185","期貨ETF","期貨ETF","-31.1","9.13","6,707","100,665","34.2"
"465",="6451","訊芯-KY","02/02","172.5","185","半導體業","半導體–IC封裝測試,半導體–IC製造","+7.14","12.7","661","4,025","3.75"
"466",="3029","零壹","02/02","111","185","資訊服務業","軟體業–系統整合","-0.45","1.35","65.6","591","0.35"
"467",="6589","台康生技","02/02","60.4","185","生技醫療業","醫藥產業","-2.89","2.89","55.4","910","0.3"
